"AdaptDown","AdaptUp","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
5,95,250.58,463.36,623.34,662.72,0,235.08,466.43,636.2,649.38,12.91,220.43,469.99,652.88,630.12,26.58,208.25,471.75,667.94,612.79,39.27,198.19,474.45,676.62,599.41,51.33,189.03,477.11,687.28,585.16,61.42,182.31,477.43,697.77,571.5,70.99,0.00372113476764612,0.0484945648696492,-0.00533780685233945,0.0266109203098194,-0.00930778410305658,0.0372438862457788,0.0623951984906879,0.0520239731759458,0.0712255493998479,0.0519294085241019,-0.00145933463842581,-0.0422468513572729,0.0460064759671031,0.0534220214707505,0.0477598093963193,0.0460504751660971
5,100,251.39,459.6,624.34,664.67,0,257.75,474.85,640.15,627.25,0,263.74,488.07,649.52,598.67,0,269.68,499.5,661.81,569.01,0,275.34,508.13,670.64,545.89,0,280.21,517.76,681.25,520.78,0,284.35,528.99,684.88,501.78,0,0.0213925410386632,0.0673511125913856,-0.00463596137563971,0.08184505621355,-0.00866691093840675,0.0403733473834272,0.11863994183349,0.0517230806692275,0.0748377099525381,0.0898856660703704,0.0205142391623338,-0.0430458055546085,0.0477233749363453,0.0871483549748729,0.0630418612098519,0.0613798709743582
10,50,249.66,459.82,622.95,667.57,0,58.85,347.59,633.7,713.04,246.82,37.74,238.96,580.76,711.24,431.3,32.94,194.65,531.69,712.22,528.5,29.28,175.64,516.32,704.82,573.94,27.29,169.09,502.07,702.82,598.73,27.29,165.75,484.04,705.35,617.57,-0.00731195941326221,0.0543076619433722,-0.0156864815401951,-0.00314183018246776,0.0035580167923722,0.0507592019617,0.0489844318534749,0.0685114810197131,0.0971213159947773,0.040542394067973,-0.0125402980621603,-0.0609648356316844,0.0652504175343456,0.0554615228328409,0.0557986380153734,0.0491387922945721
10,55,251.34,458.3,623.24,667.12,0,59.74,349.89,619.63,711.26,259.48,36.53,236.69,575.57,700.61,450.6,30.8,195.23,535.53,702.49,535.95,28.4,177.23,512.2,698.4,583.77,26.8,169.31,492.96,704.3,606.63,27.21,160.97,478.52,709.67,623.63,-0.00683221993239612,0.0552080406223661,-0.0144734084911643,-0.00356017944471994,0.00400898802696508,0.0519338438801194,0.049575976281477,0.0694310487136242,0.0983033520158195,0.0443222141969987,-0.0121989495782105,-0.0628017113640857,0.0658016175227809,0.0566223936910525,0.056566968494669,0.050130869676024
10,60,251.76,460.59,623.64,664.01,0,110.11,394.63,651.91,711.65,131.7,72.19,331.14,645.87,704.4,246.4,58.96,292.71,637.69,694.26,316.38,51.76,273.81,627.87,690.04,356.52,50.3,263.19,618.84,687.14,380.53,48.47,254.05,612.08,683.85,401.55,-0.00603440879564575,0.0457632073520025,-0.00940333302285705,-0.00242640941617346,-0.00417637044559375,0.0418887250037882,0.0426381926633797,0.0577224455433371,0.075869234816569,0.0343235131556008,-0.0100070710131789,-0.050690128533528,0.050100236832559,0.04544449428024,0.0475182695612512,0.0429693883784259
10,65,250.45,462.03,618.9,668.62,0,110.12,390.54,647.95,717.14,134.25,72.63,333.57,641.26,698.41,254.13,59.92,292.89,637.52,693.25,316.42,53.82,269.16,628.32,695.59,353.11,50.32,262.15,620.58,688,378.95,49.19,254.52,611.66,687.21,397.42,-0.00613125468910639,0.0450631414058372,-0.0105824990799711,-0.00165390047885701,-0.00328213638577424,0.0415779519173913,0.0410568147608424,0.0573020169802595,0.078377798771319,0.0337588093628653,-0.0115696297145961,-0.0491469248626453,0.051615855332959,0.0447392914960169,0.0461505056719886,0.0425381809638629
10,70,248.97,460.86,622.47,667.7,0,109.94,387.75,651.85,713.18,137.28,72.05,326.34,650.18,701.55,249.88,59.25,290.8,633.22,697.75,318.98,53.38,270.1,626.42,692.83,357.27,50.17,260.22,613.05,693.95,382.61,48.12,251.57,609.33,689.49,401.49,-0.00567805110526856,0.0450145292663036,-0.00865445581870225,-0.000803843051177411,-0.00623493323279677,0.0410026224191147,0.0416337147287304,0.0574790169688988,0.0787009221886995,0.0342300490102156,-0.0121694105558046,-0.0471766619133495,0.0505880898095102,0.0461156244920345,0.0462621614278151,0.0413972175763973
10,75,252.55,459.33,620.12,668,0,178.04,431.8,642.15,692.53,55.48,139.59,406.81,667.04,675.95,110.61,117.97,389.77,681.41,658.5,152.35,103.24,379.91,685.37,650.12,181.36,96.21,372.59,686.04,640.82,204.34,91.89,365,688.08,635.05,219.98,-0.00423876178641611,0.04193231125929,-0.00725913044338723,0.00261744979925232,-0.0073631735093229,0.0369831160801274,0.0408588154269496,0.0532739380788219,0.075325407321719,0.0321170501469972,-0.00920932722381313,-0.044025230872546,0.0465428027622025,0.0421956754859116,0.042830748153809,0.0396016925493772
10,80,252.63,459.1,624.19,664.08,0,179.7,433.5,643.03,688.93,54.84,138.55,413.35,664.68,674.87,108.55,117.66,395.01,679.08,659.15,149.1,103.87,385.7,680.47,650.57,179.39,95.68,375.77,683.73,642.09,202.73,91.8,368.71,689.08,633.02,217.39,-0.0048052581064599,0.041593828897969,-0.00723408081792738,0.00200674735783791,-0.00916064042438886,0.0364091634146578,0.0404461639214351,0.05345062246855,0.0698526667133133,0.033681587893225,-0.0110754317022303,-0.0435032106738095,0.0446218597208879,0.0419533949103553,0.0427368007707078,0.0392387191713235
10,85,248.46,461.34,624.04,666.16,0,175.87,425.27,656.18,687.33,55.35,137.12,404.9,671.35,679.81,106.82,115.35,388.63,682.11,667.86,146.05,103.35,376.33,685.56,656.63,178.13,96.57,367.34,687.97,645.99,202.13,92.16,359.31,689.41,637.48,221.64,-0.00507771626030647,0.0420698497356271,-0.00815377533246865,0.00185469975036553,-0.00823770810635898,0.0367818555404119,0.0404602849453867,0.0547949283502202,0.0707028566461633,0.0326036829694132,-0.00953946612890436,-0.0452227304784861,0.0455971350690751,0.0421611800956907,0.0432232623023386,0.0397569367461802
10,90,247.84,461.1,623.55,667.51,0,231.59,465.37,637.94,652.02,13.08,218.14,465.8,653.96,635.69,26.41,206.3,466.68,671.8,615.91,39.31,198.18,468.75,682.53,599.59,50.95,190.12,470.48,693.13,585.24,61.03,182.57,472.9,700.34,574.14,70.05,0.00353560520015773,0.0486023765172211,-0.00526031870064827,0.0257320549772282,-0.00873556844396374,0.0372345218234609,0.062108524157108,0.0530000825538412,0.0751361530364384,0.0476900759135182,-0.000199628193550108,-0.0419523265184481,0.0477627024496613,0.0523527989693669,0.0484315041495048,0.0460595691794635
10,95,249.85,457.67,622.11,670.37,0,233.16,459.79,637.92,655.87,13.26,219.43,463.12,653.27,637.35,26.83,206.55,464.87,669.41,620.07,39.1,197.5,466.89,679.34,606.02,50.25,189.61,468.32,689.81,591.53,60.73,182.37,469.91,697.71,579.11,70.9,0.00288641827073958,0.0489501658705584,-0.00643612126480832,0.0257476849427444,-0.00924863015452783,0.0379824687935889,0.062055366588912,0.0530747168164203,0.0724967497898466,0.0498560486350482,-0.00146434334130236,-0.0433829594857648,0.0464570915933012,0.0529217219179646,0.0486087949978679,0.0467685272265605
10,100,249.35,461.42,621.77,667.46,0,256.66,474.12,636.97,632.25,0,262.69,487.96,650.05,599.3,0,267.72,500.85,660.77,570.66,0,272.82,511.16,670.84,545.18,0,277.65,521.55,678.02,522.78,0,282.22,530.11,684.73,502.94,0,0.0204939623784976,0.067361409742622,-0.00549242080969269,0.0800166058016102,-0.00820936586861942,0.0409607412894291,0.116641727579689,0.0533224919001531,0.0725300855136875,0.0883832489788607,0.0204376049808831,-0.0441153617521042,0.0481363177179818,0.0862047068598825,0.0636359563452441,0.0612996439485423
15,50,251.39,459.51,621.14,667.96,0,80.35,394,672.27,609.95,243.43,76.09,305.82,622.72,630.49,364.88,71.69,291.31,601.41,648.07,387.52,71.68,282.72,600.18,646.33,399.09,72.36,279.79,602.53,645.46,399.86,71.5,281.95,599.58,645.68,401.29,-0.00119982880037415,0.0443102426660764,-0.00900710265601481,-0.000427678929125738,0.0132787934837185,0.0422026033374638,0.0442481652978758,0.0485862080909625,0.0804035873493124,0.0422082497976398,-0.00302262363488575,-0.0506757436882296,0.0510779530702981,0.0454249739695309,0.0442920159152753,0.0420382116778667
15,55,248.77,460.83,624.37,666.03,0,81.76,386.9,671.1,611.38,248.86,77.74,301.33,626.94,633.74,360.25,71.7,287.54,612.78,640.94,387.04,70.33,282.96,604.08,645.55,397.08,70.08,288.82,599.75,640.19,401.16,71.99,291.29,598.37,630.35,408,-0.00122477296775067,0.044474159315767,-0.00962824883946565,-0.00228685242482843,0.0168467284398483,0.042611674970488,0.0440583467191412,0.0487430542627787,0.0849005667500511,0.0409065293863366,-0.0025558273745383,-0.0511484661693287,0.0519616525622902,0.0456064851350809,0.0437994873920606,0.0427703717067558
15,60,249.8,458.73,623.58,667.89,0,129.67,436.01,687.57,615.28,131.47,112.99,398.95,680.37,588.94,218.75,106.44,381.41,679.18,582.55,250.42,107.25,366.91,679.72,584.89,261.23,105.43,374.98,671.79,582.32,265.48,105.44,375.13,678.35,570.98,270.1,-2.53520024118192e-05,0.0388324641945826,-0.00757738930971074,0.000191957201079468,0.0146551621428353,0.0376584826894245,0.0391344706768374,0.0407674876113974,0.0723020971273345,0.036898649244624,1.88704813878417e-05,-0.044823030180073,0.0433215091767697,0.0385957340021882,0.0375469614113145,0.039660099632799
