"Rep","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
21,250,493,646,611,0,96,554,964,309,77,408,11,1199,217,165,339,540,546,420,155,347,33,965,544,111,100,472,1138,0,290,188,245,871,560,136,-0.00180533603716399,0.0262825424150256,-0.00240299644417622,-0.00761236384084609,0.00792840666252731,0.0231791901909195,0.0294119178943068,0.0277889812595117,0.0328665450581696,0.0243265088841582,-0.00777781690660053,-0.0235789963538111,0.0315537804202892,0.0323553876196402,0.0234851027864893,0.0237461916927979
22,232,447,624,697,0,24,484,1030,363,99,178,221,1219,264,118,118,828,424,442,188,88,788,514,487,123,79,708,713,361,139,253,92,1259,85,311,0.000834513362456922,0.0225912735711679,-0.0096786346062995,0.00638373300482704,0.0145382899583017,0.023598652738577,0.0228315698086821,0.0202499121401763,0.0779218361768553,0.00636502267746607,0.0103878356245328,-0.0291162626569377,0.0265193693450218,0.0249298002358954,0.0179871508007192,0.0253118537514924
23,271,474,609,646,0,127,796,486,451,140,167,367,790,617,59,196,445,974,266,119,168,362,828,576,66,287,95,996,380,242,77,548,820,446,109,-0.00287596990126859,0.0209023533342272,-0.00955183475475035,0.00439272485701789,0.000511952456615511,0.0192416611667876,0.0233530337737488,0.0208447583891374,0.0354529966529984,0.0325281574481589,-0.0136610447515455,-0.027288538060168,0.0225810883384573,0.0230850753487793,0.0215978336292626,0.0177539971751073
24,254,512,574,660,0,191,292,935,564,18,170,703,747,342,38,333,303,1050,187,127,86,392,1104,389,29,64,287,988,446,215,122,252,1115,421,90,-0.00349745123850776,0.0205159576665188,-0.0076411871510414,-0.00940492066799731,0.0135585066007346,0.0199737706986816,0.0224667148557871,0.0187048130835929,0.0618618326270017,0.00269098120972825,-0.000348407697681948,-0.0269113457712957,0.0296841273088668,0.0207385048309621,0.0157602013389873,0.0249126555301324
25,258,485,584,673,0,123,426,982,428,41,89,187,968,657,99,178,341,1067,189,225,113,558,321,917,91,238,276,829,571,86,297,0,1271,283,149,0.000516439223944336,0.0209829402471542,-0.00220812165513204,0.00025719602742133,0.00640614765082238,0.0202436355286226,0.0220323975937993,0.0211365083559341,0.039673651843541,0.0216828308231475,0.00275065815683334,-0.0294784968589567,0.0224753758294959,0.0232410542492917,0.0196717091272674,0.0203525096857494
26,272,478,584,666,0,62,434,1150,216,138,153,564,636,520,127,288,508,597,433,174,224,628,954,69,125,121,310,1080,368,121,62,481,1195,219,43,0.0029762911679878,0.0235282043013498,-0.00282407121513708,0.0021788618107941,0.0153119372211185,0.0246350312523731,0.0237050218430246,0.0211399493423598,0.0536266018269832,0.0242233465318553,0.00248201209025959,-0.0257538745527823,0.0275491484890289,0.0264609051530182,0.0168040830144041,0.0291592197899816
27,256,472,618,654,0,50,412,1063,403,72,157,353,767,576,147,309,150,1142,337,62,152,901,369,454,124,69,540,654,550,187,173,812,0,851,164,0.000329903864935377,0.0181082674903033,-0.00207949327488853,-0.00159360860520046,0.00741885444806928,0.0181756827558445,0.0190600238938374,0.0167151898499626,0.0287804864475597,0.0155967652936577,-0.00307348537505332,-0.0144995974551912,0.027376724010788,0.0167108986867134,0.0153125727636053,0.0207907009505101
28,233,477,629,661,0,120,459,933,488,0,258,594,383,711,54,129,397,996,365,113,20,531,710,528,211,92,446,745,514,203,243,139,953,467,198,-0.000533748782262858,0.0216026963652363,0.000674696994232031,-0.00903774478406916,0.00849836537374558,0.0222249403954027,0.0207528984054119,0.0215098971388042,0.0379079408316949,0.0126574881564587,0.00555384532210895,-0.0263632100161098,0.026833131418927,0.0216415196231621,0.0182774272271707,0.0244190179409665
29,256,453,646,645,0,82,443,887,500,88,50,624,408,821,97,51,461,701,753,34,35,420,1361,3,181,198,467,763,482,90,282,243,926,414,135,0.0025234644586275,0.0183739986691101,-0.000441542309401723,-0.00447710766027924,0.017325398138016,0.0200360759884344,0.0162037776592816,0.0181728015122074,0.0564228808217873,0.00713804992912459,0.0108153559763936,-0.0249245831669509,0.0341660418138206,0.014372359557766,0.015834138557259,0.0210642043344161
30,256,462,618,664,0,110,526,971,291,102,289,8,1149,426,128,227,81,1088,371,233,97,471,580,729,123,236,434,888,279,163,126,171,1121,487,95,-0.00361578103265608,0.021842163200658,-0.0112786788173246,-0.00356093424757379,0.0124197164031365,0.0223642384175762,0.021262577295829,0.0215225781591293,0.048044442484844,0.0184868481257175,0.00289244722190126,-0.0406824485532515,0.0264021880259528,0.022683704509426,0.01861942855802,0.0239342372983724
