"Period","TimeMin","TimeSec","MinPlayed","MinRemain","Kansas_Score","Kentucky_Score","Line","Kansas","Kentucky","Action"
"H1",19,16,0.733333333333334,39.2666666666667,2,0,-3.97723830232534,0.432881492810776,0.567118507189224,""
"H1",19,15,0.75,39.25,2,0,-3.97723830232534,0.432925273605789,0.567074726394211,""
"H1",19,14,0.766666666666666,39.2333333333333,2,0,-3.97723830232534,0.432969070798701,0.567030929201299,"Edrice Adebayo Offensive Rebound."
"H1",19,13,0.783333333333331,39.2166666666667,2,0,-3.97723830232534,0.433012884403776,0.566987115596224,""
"H1",19,12,0.799999999999997,39.2,2,0,-3.97723830232534,0.433056714435297,0.566943285564703,""
"H1",19,11,0.81666666666667,39.1833333333333,2,0,-3.97723830232534,0.433100560907565,0.566899439092435,""
"H1",19,10,0.833333333333336,39.1666666666667,2,0,-3.97723830232534,0.433144423834901,0.566855576165099,""
"H1",19,9,0.850000000000001,39.15,2,0,-3.97723830232534,0.433188303231645,0.566811696768355,""
"H1",19,8,0.866666666666667,39.1333333333333,2,0,-3.97723830232534,0.433232199112159,0.566767800887841,""
"H1",19,7,0.883333333333333,39.1166666666667,2,0,-3.97723830232534,0.43327611149082,0.56672388850918,""
"H1",19,6,0.899999999999999,39.1,2,0,-3.97723830232534,0.433320040382027,0.566679959617973,""
"H1",19,5,0.916666666666664,39.0833333333333,2,0,-3.97723830232534,0.433363985800199,0.566636014199801,""
"H1",19,4,0.93333333333333,39.0666666666667,2,0,-3.97723830232534,0.433407947759772,0.566592052240228,""
"H1",19,3,0.950000000000003,39.05,2,0,-3.97723830232534,0.433451926275204,0.566548073724796,""
"H1",19,2,0.966666666666669,39.0333333333333,2,0,-3.97723830232534,0.433495921360972,0.566504078639028,""
"H1",19,1,0.983333333333334,39.0166666666667,2,0,-3.97723830232534,0.433539933031571,0.566460066968429,""
"H1",19,0,1,39,2,0,-3.97723830232534,0.433583961301517,0.566416038698483,""
"H1",18,59,1.01666666666667,38.9833333333333,2,0,-3.97723830232534,0.433628006185346,0.566371993814654,""
"H1",18,58,1.03333333333333,38.9666666666667,2,0,-3.97723830232534,0.433672067697613,0.566327932302387,""
"H1",18,57,1.05,38.95,2,0,-3.97723830232534,0.433716145852893,0.566283854147107,""
"H1",18,56,1.06666666666667,38.9333333333333,2,0,-3.97723830232534,0.433760240665781,0.566239759334219,""
"H1",18,55,1.08333333333334,38.9166666666667,2,0,-3.97723830232534,0.43380435215089,0.56619564784911,""
"H1",18,54,1.1,38.9,2,0,-3.97723830232534,0.433848480322855,0.566151519677145,"Josh Jackson Defensive Rebound."
"H1",18,53,1.11666666666667,38.8833333333333,2,0,-3.97723830232534,0.433892625196331,0.566107374803669,""
"H1",18,52,1.13333333333333,38.8666666666667,2,0,-3.97723830232534,0.433936786785991,0.566063213214009,""
"H1",18,51,1.15,38.85,2,0,-3.97723830232534,0.43398096510653,0.56601903489347,""
"H1",18,50,1.16666666666666,38.8333333333333,2,0,-3.97723830232534,0.434025160172661,0.565974839827339,""
"H1",18,49,1.18333333333333,38.8166666666667,2,0,-3.97723830232534,0.434069371999118,0.565930628000882,""
"H1",18,48,1.2,38.8,2,0,-3.97723830232534,0.434113600600656,0.565886399399344,""
"H1",18,47,1.21666666666667,38.7833333333333,2,0,-3.97723830232534,0.434157845992049,0.565842154007951,""
"H1",18,46,1.23333333333333,38.7666666666667,2,0,-3.97723830232534,0.434202108188091,0.565797891811909,""
"H1",18,45,1.25,38.75,2,0,-3.97723830232534,0.434246387203596,0.565753612796404,""
"H1",18,44,1.26666666666667,38.7333333333333,2,0,-3.97723830232534,0.4342906830534,0.5657093169466,""
"H1",18,43,1.28333333333333,38.7166666666667,2,0,-3.97723830232534,0.434334995752356,0.565665004247644,""
"H1",18,42,1.3,38.7,2,0,-3.97723830232534,0.434379325315341,0.565620674684659,""
"H1",18,41,1.31666666666667,38.6833333333333,2,0,-3.97723830232534,0.434423671757249,0.565576328242751,""
"H1",18,40,1.33333333333334,38.6666666666667,2,0,-3.97723830232534,0.434468035092998,0.565531964907002,""
"H1",18,39,1.35,38.65,2,0,-3.97723830232534,0.434512415337521,0.565487584662479,""
"H1",18,38,1.36666666666667,38.6333333333333,2,0,-3.97723830232534,0.434556812505778,0.565443187494222,"Wenyen Gabriel Defensive Rebound."
"H1",18,37,1.38333333333333,38.6166666666667,2,0,-3.97723830232534,0.434601226612744,0.565398773387256,""
"H1",18,36,1.4,38.6,2,0,-3.97723830232534,0.434645657673417,0.565354342326583,""
"H1",18,35,1.41666666666666,38.5833333333333,2,0,-3.97723830232534,0.434690105702816,0.565309894297184,""
"H1",18,34,1.43333333333333,38.5666666666667,2,0,-3.97723830232534,0.434734570715978,0.565265429284022,""
"H1",18,33,1.45,38.55,2,0,-3.97723830232534,0.434779052727964,0.565220947272036,""
"H1",18,32,1.46666666666667,38.5333333333333,2,0,-3.97723830232534,0.434823551753854,0.565176448246146,""
"H1",18,31,1.48333333333333,38.5166666666667,2,0,-3.97723830232534,0.434868067808747,0.565131932191253,""
